,sid,grp,cnd,fam,tid,tord,pc_grand,pc_first,pc_last,dpc,alltime,freetime,nblocks,avstreak,lrn,int,comp,time,prog,rule,lrn2,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2,lp1,lp2,lp3,ntm,good_ord
721,195,S,i+,Green,2_I1D,1,0.851063829787234,0.8,0.8666666666666667,0.06666666666666665,0.15161290322580645,0.128,2,16.0,7,6,5,4,8,9,5,0.5714285714285712,-0.4285714285714288,-1.4285714285714288,-2.428571428571429,1.5714285714285712,2.571428571428571,-1.4285714285714288,0,38,19,3,False
722,195,S,i+,Bear,3_2D,2,0.7796610169491526,0.6666666666666666,1.0,0.33333333333333337,0.19032258064516128,0.176,3,14.666666666666666,7,8,8,6,7,7,6,0.5714285714285712,1.5714285714285712,1.5714285714285712,-0.4285714285714288,0.5714285714285712,0.5714285714285712,-0.4285714285714288,0,38,19,3,False
723,195,S,i+,Bunny,4_R,4,0.5,0.26666666666666666,0.6666666666666666,0.39999999999999997,0.5548387096774193,0.628,3,52.333333333333336,4,9,9,9,3,3,7,-2.428571428571429,2.571428571428571,2.571428571428571,2.571428571428571,-3.428571428571429,-3.428571428571429,0.5714285714285712,0,38,19,3,False
724,196,S,i-,Bear,1_1D,4,0.9047619047619048,0.8666666666666667,0.9333333333333333,0.06666666666666665,0.06774193548387097,0.024,1,6.0,4,6,2,3,10,10,1,-2.25,-0.25,-4.25,-3.25,3.75,3.75,-5.25,0,29,250,2,True
725,196,S,i-,Squid,2_I1D,3,0.8863636363636364,0.8,1.0,0.19999999999999996,0.14193548387096774,0.116,1,29.0,6,6,3,4,8,9,2,-0.25,-0.25,-3.25,-2.25,1.75,2.75,-4.25,0,29,250,2,True
726,196,S,i-,Bunny,3_2D,2,0.7027027027027027,0.6,0.8,0.20000000000000007,0.11935483870967742,0.088,1,22.0,8,8,9,8,5,8,7,1.75,1.75,2.75,1.75,-1.25,1.75,0.75,0,29,250,2,True
727,196,S,i-,Green,4_R,1,0.5336538461538461,0.4666666666666667,0.7333333333333333,0.2666666666666666,0.6709677419354839,0.772,1,193.0,10,9,10,10,3,3,3,3.75,2.75,3.75,3.75,-3.25,-3.25,-3.25,0,29,250,2,True
728,197,S,i+,Bunny,1_1D,1,0.75,0.6666666666666666,0.9333333333333333,0.2666666666666667,0.07741935483870968,0.036,2,4.5,4,3,1,1,10,10,1,-1.8928571428571432,-2.8928571428571432,-4.892857142857143,-4.892857142857143,4.107142857142857,4.107142857142857,-4.892857142857143,141,0,250,2,False
729,197,S,i+,Squid,2_I1D,4,0.9565217391304348,1.0,0.9333333333333333,0.0,0.07419354838709677,0.032,2,4.0,1,1,1,1,10,10,1,-4.892857142857143,-4.892857142857143,-4.892857142857143,-4.892857142857143,4.107142857142857,4.107142857142857,-4.892857142857143,141,0,250,2,False
730,197,S,i+,Bear,3_2D,3,0.5495495495495496,0.6666666666666666,0.6666666666666666,0.0,0.3580645161290323,0.384,4,24.0,10,10,10,10,8,8,7,4.107142857142857,4.107142857142857,4.107142857142857,4.107142857142857,2.1071428571428568,2.1071428571428568,1.1071428571428568,141,0,250,2,False
731,197,S,i+,Green,4_R,2,0.46710526315789475,0.3333333333333333,0.7333333333333333,0.39999999999999997,0.49032258064516127,0.548,7,19.571428571428573,10,10,10,10,1,1,5,4.107142857142857,4.107142857142857,4.107142857142857,4.107142857142857,-4.892857142857143,-4.892857142857143,-0.8928571428571432,141,0,250,2,False
732,198,S,i-,Bunny,1_1D,4,0.6956521739130435,0.6,0.8,0.20000000000000007,0.14838709677419354,0.124,2,15.5,8,1,2,4,10,10,2,1.6428571428571432,-5.357142857142857,-4.357142857142857,-2.3571428571428568,3.6428571428571432,3.6428571428571432,-4.357142857142857,250,74,171,2,False
733,198,S,i-,Bear,2_I1D,3,0.7894736842105263,0.7333333333333333,0.8,0.06666666666666676,0.12258064516129032,0.092,1,23.0,3,1,1,2,10,10,2,-3.3571428571428568,-5.357142857142857,-5.357142857142857,-4.357142857142857,3.6428571428571432,3.6428571428571432,-4.357142857142857,250,74,171,2,False
734,198,S,i-,Squid,3_2D,1,0.7738095238095238,0.6666666666666666,0.9333333333333333,0.2666666666666667,0.5419354838709678,0.612,2,76.5,8,8,9,10,9,9,8,1.6428571428571432,1.6428571428571432,2.6428571428571432,3.6428571428571432,2.6428571428571432,2.6428571428571432,1.6428571428571432,250,74,171,2,False
735,198,S,i-,Green,4_R,2,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.1870967741935484,0.172,2,21.5,8,9,10,7,2,5,10,1.6428571428571432,2.6428571428571432,3.6428571428571432,0.6428571428571432,-4.357142857142857,-1.3571428571428568,3.6428571428571432,250,74,171,2,False
736,199,S,i+,Bear,1_1D,2,0.84375,0.8666666666666667,0.8666666666666667,0.0,0.1032258064516129,0.068,2,8.5,2,3,2,2,10,10,3,-3.9642857142857144,-2.9642857142857144,-3.9642857142857144,-3.9642857142857144,4.035714285714286,4.035714285714286,-2.9642857142857144,0,194,250,2,True
737,199,S,i+,Green,2_I1D,3,0.6481481481481481,0.5333333333333333,0.8,0.2666666666666667,0.17419354838709677,0.156,3,13.0,7,4,5,7,8,9,4,1.0357142857142856,-1.9642857142857144,-0.9642857142857144,1.0357142857142856,2.0357142857142856,3.0357142857142856,-1.9642857142857144,0,194,250,2,True
738,199,S,i+,Bunny,3_2D,4,0.5535714285714286,0.2,0.8,0.6000000000000001,0.18064516129032257,0.164,3,13.666666666666666,9,6,3,5,8,9,3,3.0357142857142856,0.03571428571428559,-2.9642857142857144,-0.9642857142857144,2.0357142857142856,3.0357142857142856,-2.9642857142857144,0,194,250,2,True
739,199,S,i+,Squid,4_R,1,0.47023809523809523,0.4666666666666667,0.4,0.0,0.5419354838709678,0.612,3,51.0,9,9,10,9,2,1,8,3.0357142857142856,3.0357142857142856,4.035714285714286,3.0357142857142856,-3.9642857142857144,-4.964285714285714,2.0357142857142856,0,194,250,2,True
740,200,S,i-,Green,1_1D,3,0.8983050847457628,0.9333333333333333,0.8666666666666667,0.0,0.19032258064516128,0.176,2,22.0,4,2,2,3,9,10,2,-2.1071428571428568,-4.107142857142857,-4.107142857142857,-3.1071428571428568,2.8928571428571432,3.8928571428571432,-4.107142857142857,0,0,13,3,True
741,200,S,i-,Squid,2_I1D,1,0.9743589743589743,0.9333333333333333,1.0,0.06666666666666665,0.12580645161290321,0.096,1,24.0,4,3,2,3,9,10,2,-2.1071428571428568,-3.1071428571428568,-4.107142857142857,-3.1071428571428568,2.8928571428571432,3.8928571428571432,-4.107142857142857,0,0,13,3,True
742,200,S,i-,Bunny,3_2D,4,0.6875,0.7333333333333333,0.6666666666666666,0.0,0.2064516129032258,0.196,2,24.5,9,7,7,7,8,7,8,2.8928571428571432,0.8928571428571432,0.8928571428571432,0.8928571428571432,1.8928571428571432,0.8928571428571432,1.8928571428571432,0,0,13,3,True
