sid,grp,tid,nlrn,nint,ncomp,ntime,nprog,nrule,nlrn2,lrn,int,comp,time,prog,rule,lrn2
286,1,4,2.3928571428571432,3.3928571428571432,4.392857142857143,3.3928571428571432,-3.6071428571428568,-2.6071428571428568,4.392857142857143,8,9,10,9,2,3,10
287,1,1,-3.3571428571428568,3.6428571428571432,-5.357142857142857,-5.357142857142857,3.6428571428571432,3.6428571428571432,-4.357142857142857,3,10,1,1,10,10,2
287,1,2,-1.3571428571428568,3.6428571428571432,-3.3571428571428568,-3.3571428571428568,1.6428571428571432,3.6428571428571432,-3.3571428571428568,5,10,3,3,8,10,3
287,1,3,3.6428571428571432,3.6428571428571432,-0.35714285714285676,-0.35714285714285676,-1.3571428571428568,1.6428571428571432,-2.3571428571428568,10,10,6,6,5,8,4
287,1,4,0.6428571428571432,3.6428571428571432,3.6428571428571432,3.6428571428571432,-5.357142857142857,-4.357142857142857,3.6428571428571432,7,10,10,10,1,2,10
288,1,1,-3.6071428571428568,-2.6071428571428568,-4.607142857142857,-3.6071428571428568,4.392857142857143,4.392857142857143,-4.607142857142857,2,3,1,2,10,10,1
288,1,2,3.3928571428571432,-3.6071428571428568,-4.607142857142857,-2.6071428571428568,3.3928571428571432,4.392857142857143,-4.607142857142857,9,2,1,3,9,10,1
288,1,3,3.3928571428571432,1.3928571428571432,-0.6071428571428568,1.3928571428571432,0.39285714285714324,1.3928571428571432,-5.607142857142857,9,7,5,7,6,7,0
288,1,4,4.392857142857143,3.3928571428571432,3.3928571428571432,3.3928571428571432,-2.6071428571428568,-3.6071428571428568,4.392857142857143,10,9,9,9,3,2,10
289,1,1,-1.0357142857142856,-2.0357142857142856,-1.0357142857142856,-5.035714285714286,1.9642857142857144,1.9642857142857144,-0.03571428571428559,5,4,5,1,8,8,6
289,1,2,0.9642857142857144,2.9642857142857144,-5.035714285714286,-0.03571428571428559,3.9642857142857144,3.9642857142857144,-4.035714285714286,7,9,1,6,10,10,2
289,1,3,-0.03571428571428559,-0.03571428571428559,-2.0357142857142856,-0.03571428571428559,1.9642857142857144,2.9642857142857144,-0.03571428571428559,6,6,4,6,8,9,6
289,1,4,0.9642857142857144,-4.035714285714286,3.9642857142857144,3.9642857142857144,-3.0357142857142856,-4.035714285714286,1.9642857142857144,7,2,10,10,3,2,8
290,1,1,0.5,-3.5,-5.5,-5.5,3.5,3.5,-5.5,7,3,1,1,10,10,1
290,1,2,3.5,0.5,-1.5,2.5,0.5,2.5,-4.5,10,7,5,9,7,9,2
290,1,3,2.5,0.5,-3.5,0.5,2.5,2.5,-2.5,9,7,3,7,9,9,4
290,1,4,3.5,2.5,3.5,3.5,-4.5,-5.5,3.5,10,9,10,10,2,1,10
291,1,1,-2.5357142857142856,2.4642857142857144,-3.5357142857142856,-3.5357142857142856,2.4642857142857144,2.4642857142857144,-4.535714285714286,4,9,3,3,9,9,2
291,1,2,-2.5357142857142856,0.4642857142857144,-4.535714285714286,-4.535714285714286,3.4642857142857144,2.4642857142857144,-3.5357142857142856,4,7,2,2,10,9,3
291,1,3,1.4642857142857144,3.4642857142857144,1.4642857142857144,1.4642857142857144,-0.5357142857142856,-2.5357142857142856,3.4642857142857144,8,10,8,8,6,4,10
291,1,4,3.4642857142857144,3.4642857142857144,3.4642857142857144,3.4642857142857144,-4.535714285714286,-5.535714285714286,3.4642857142857144,10,10,10,10,2,1,10
292,1,1,-0.6071428571428568,-0.6071428571428568,-2.6071428571428568,0.39285714285714324,3.3928571428571432,3.3928571428571432,3.3928571428571432,6,6,4,7,10,10,10
292,1,2,1.3928571428571432,3.3928571428571432,-3.6071428571428568,3.3928571428571432,3.3928571428571432,3.3928571428571432,3.3928571428571432,8,10,3,10,10,10,10
292,1,3,2.3928571428571432,2.3928571428571432,0.39285714285714324,-3.6071428571428568,-1.6071428571428568,-0.6071428571428568,-0.6071428571428568,9,9,7,3,5,6,6
292,1,4,-3.6071428571428568,0.39285714285714324,3.3928571428571432,-5.607142857142857,-4.607142857142857,-5.607142857142857,-4.607142857142857,3,7,10,1,2,1,2
